,Con1Subject,Con2Subject,Con3Subject,Condition 1,Condition 2,Condition 3,Con1Tweet,Con2Tweet,Con3Tweet,HasProfile,Cond1Acc,Cond2Acc,Cond3Acc,Cond1Eng,Cond2Eng,Cond3Eng,Cond1Fake,Cond2Fake,Cond3Fake,Political View,Trust Tweet,Photoshop
610761fce69907203f8b2488,12,12,12,1,2,3,3,2,1,No,Very Inaccurate (1),Somewhat Inaccurate (2),Very Accurate (5),No Engagement,No Engagement,Like,More fake than real (2),Definitely real (5),Definitely real (5),Very Liberal,9,"Yes, somewhat experienced"
62e981eeeb70db87a9730d7b,13,13,13,1,2,3,2,3,1,No,Somewhat Accurate (4),Somewhat Inaccurate (2),Neither Accurate nor Inaccurate (3),No Engagement,No Engagement,No Engagement,More real than fake (4),More real than fake (4),Definitely fake (1),Slightly Liberal,6,"Yes, somewhat experienced"
60f9e3ec9d7d5ded402092c0,14,14,14,1,2,3,1,3,2,No,Very Inaccurate (1),Neither Accurate nor Inaccurate (3),Somewhat Inaccurate (2),No Engagement,No Engagement,No Engagement,I'm not sure (3),More real than fake (4),More real than fake (4),Very Liberal,6,"No, I've never used it"
62951d61147684f43f2c5d5f,15,15,15,1,2,3,2,1,3,No,Very Accurate (5),Very Inaccurate (1),Neither Accurate nor Inaccurate (3),Retweet,No Engagement,No Engagement,I'm not sure (3),Definitely real (5),I'm not sure (3),Slightly Liberal,4,"Yes,  but I just started using it"
613e1d92e62a8803c9212bf9,16,16,16,1,2,3,3,2,1,No,Very Inaccurate (1),Neither Accurate nor Inaccurate (3),Neither Accurate nor Inaccurate (3),No Engagement,No Engagement,No Engagement,More fake than real (2),Definitely fake (1),I'm not sure (3),Slightly Liberal,Untrustworthy 1,"Yes, very experienced"
5bd893be30bfa90001efc6ce,17,17,17,1,2,3,1,3,2,No,Somewhat Accurate (4),Somewhat Accurate (4),Neither Accurate nor Inaccurate (3),No Engagement,No Engagement,No Engagement,More real than fake (4),More real than fake (4),More real than fake (4),Slightly Liberal,Neutral   5,"No, I've never used it"
5edfb1cc0719972b347c4db3,18,18,18,1,2,3,1,3,2,No,Somewhat Inaccurate (2),Very Inaccurate (1),Somewhat Accurate (4),No Engagement,No Engagement,No Engagement,More real than fake (4),More real than fake (4),Definitely fake (1),Very Liberal,7,"Yes, somewhat experienced"
627d0848837a688546a3dfbe,19,19,19,1,2,3,2,1,3,No,Very Accurate (5),Neither Accurate nor Inaccurate (3),Very Inaccurate (1),No Engagement,No Engagement,No Engagement,More real than fake (4),More fake than real (2),I'm not sure (3),Very Liberal,Untrustworthy 1,"Yes, somewhat experienced"
62e024c99d5b903657c92934,20,20,20,1,2,3,2,1,3,No,Somewhat Inaccurate (2),Somewhat Inaccurate (2),Somewhat Inaccurate (2),No Engagement,No Engagement,No Engagement,More fake than real (2),More real than fake (4),I'm not sure (3),Very Conservative,Neutral   5,"Yes, very experienced"
5f11e7b491d5a10d15a7dd71,21,21,21,1,2,3,2,3,1,No,Somewhat Inaccurate (2),Very Inaccurate (1),Very Inaccurate (1),No Engagement,No Engagement,No Engagement,More fake than real (2),Definitely fake (1),Definitely fake (1),Very Liberal,3,"Yes, somewhat experienced"
5f12434469688108dff71446,22,22,22,1,2,3,1,3,2,No,Neither Accurate nor Inaccurate (3),Very Inaccurate (1),Very Inaccurate (1),No Engagement,No Engagement,No Engagement,More real than fake (4),More real than fake (4),More fake than real (2),Very Liberal,Neutral   5,"No, I've never used it"
60fc9ec40fc7b1dcaa96cff1,23,23,23,1,2,3,3,2,1,No,Somewhat Inaccurate (2),Very Inaccurate (1),Somewhat Inaccurate (2),No Engagement,No Engagement,No Engagement,I'm not sure (3),I'm not sure (3),Definitely fake (1),Very Liberal,Neutral   5,"No, I've never used it"
60fd61f390016aba98a3d0a8,24,24,24,1,2,3,3,1,2,No,Very Inaccurate (1),Somewhat Accurate (4),Somewhat Inaccurate (2),No Engagement,No Engagement,No Engagement,More real than fake (4),More real than fake (4),Definitely fake (1),Slightly Liberal,6,"No, I've never used it"
60f2570c0e231df8115f4752,25,25,25,1,2,3,3,2,1,No,Somewhat Inaccurate (2),Neither Accurate nor Inaccurate (3),Neither Accurate nor Inaccurate (3),No Engagement,No Engagement,No Engagement,More fake than real (2),More fake than real (2),I'm not sure (3),Slightly Liberal,Untrustworthy 1,"Yes,  but I just started using it"
5eb2458eac7ad439c1137247,26,26,26,1,2,3,3,1,2,No,Neither Accurate nor Inaccurate (3),Somewhat Accurate (4),Neither Accurate nor Inaccurate (3),No Engagement,Like,No Engagement,More real than fake (4),More real than fake (4),More fake than real (2),Slightly Conservative,4,"Yes, somewhat experienced"
558d8d71fdf99b534f79b352,27,27,27,1,2,3,3,2,1,No,Very Accurate (5),Somewhat Accurate (4),Neither Accurate nor Inaccurate (3),Like,Like,No Engagement,Definitely real (5),Definitely real (5),More fake than real (2),Slightly Conservative,Neutral   5,"No, I've never used it"
62ec3412706175ea98e11fba,28,28,28,1,2,3,1,2,3,No,Neither Accurate nor Inaccurate (3),Very Inaccurate (1),Very Inaccurate (1),No Engagement,No Engagement,No Engagement,More real than fake (4),I'm not sure (3),More fake than real (2),Prefer not to say,Neutral   5,"Yes, somewhat experienced"
5e39ae3487243b1c74d14f9f,29,29,29,1,2,3,1,3,2,No,Very Inaccurate (1),Very Inaccurate (1),Very Inaccurate (1),No Engagement,No Engagement,No Engagement,Definitely real (5),More real than fake (4),More fake than real (2),Slightly Conservative,6,"Yes,  but I just started using it"
5f420d1c13ccec013f15fd32,30,30,30,1,2,3,2,1,3,No,Neither Accurate nor Inaccurate (3),Somewhat Accurate (4),Very Inaccurate (1),No Engagement,No Engagement,No Engagement,I'm not sure (3),I'm not sure (3),I'm not sure (3),Very Liberal,Neutral   5,"Yes, somewhat experienced"
610991f52ca853dc32c4bf49,31,31,31,1,2,3,3,1,2,No,Very Inaccurate (1),Very Inaccurate (1),Somewhat Inaccurate (2),No Engagement,No Engagement,No Engagement,I'm not sure (3),More real than fake (4),Definitely fake (1),Very Liberal,6,"No, I've never used it"
6295446d54e178eeb22d82bb,32,32,32,1,2,3,1,2,3,No,Neither Accurate nor Inaccurate (3),Neither Accurate nor Inaccurate (3),Somewhat Inaccurate (2),No Engagement,No Engagement,No Engagement,More fake than real (2),More fake than real (2),More fake than real (2),Very Liberal,Neutral   5,"No, I've never used it"
60c6e79ffd3d9bf1a7fc4f3e,33,33,33,1,2,3,2,1,3,No,Neither Accurate nor Inaccurate (3),Somewhat Inaccurate (2),Very Inaccurate (1),No Engagement,No Engagement,No Engagement,I'm not sure (3),More fake than real (2),Definitely fake (1),Slightly Liberal,Neutral   5,"Yes, somewhat experienced"
5da8d4ea813dc400156b8cbf,34,34,34,1,2,3,3,1,2,No,Somewhat Accurate (4),Very Accurate (5),Neither Accurate nor Inaccurate (3),No Engagement,No Engagement,No Engagement,More fake than real (2),More fake than real (2),More fake than real (2),Slightly Conservative,Neutral   5,"No, I've never used it"
62d6c241933f67a70cc0f10c,35,35,35,1,2,3,1,3,2,No,Neither Accurate nor Inaccurate (3),Very Inaccurate (1),Neither Accurate nor Inaccurate (3),No Engagement,Prefer not to say,Like,Definitely fake (1),More real than fake (4),More fake than real (2),Slightly Liberal,4,"Yes, somewhat experienced"
612810b001fe6cd5e7786c39,36,36,36,1,2,3,3,1,2,No,Very Inaccurate (1),Very Inaccurate (1),Somewhat Inaccurate (2),No Engagement,Reply,No Engagement,I'm not sure (3),More fake than real (2),I'm not sure (3),Slightly Liberal,6,"Yes, somewhat experienced"
62839ba4a4ace124f3a3889c,37,37,37,1,2,3,2,3,1,No,Somewhat Inaccurate (2),Very Inaccurate (1),Somewhat Accurate (4),No Engagement,No Engagement,No Engagement,More real than fake (4),Definitely real (5),More fake than real (2),Slightly Liberal,3,"No, I've never used it"
62b1f2bfcec5a48852005c5f,38,38,38,1,2,3,1,2,3,No,Neither Accurate nor Inaccurate (3),Somewhat Accurate (4),Somewhat Inaccurate (2),No Engagement,Like,No Engagement,I'm not sure (3),More fake than real (2),Definitely fake (1),Very Conservative,7,"Yes, very experienced"
60ff73944b8a448452e215ec,39,39,39,1,2,3,3,2,1,No,Somewhat Inaccurate (2),Somewhat Inaccurate (2),Somewhat Accurate (4),No Engagement,No Engagement,Like,More real than fake (4),More fake than real (2),More fake than real (2),Very Conservative,Neutral   5,"No, I've never used it"
62c2e95abeb001900b8ab0cb,40,40,40,1,2,3,3,2,1,No,Very Inaccurate (1),Very Inaccurate (1),Very Inaccurate (1),No Engagement,No Engagement,No Engagement,More fake than real (2),I'm not sure (3),Definitely fake (1),Slightly Liberal,7,"Yes, somewhat experienced"
6015fe4f86fe247906d2fb4c,41,41,41,1,2,3,2,3,1,No,Somewhat Accurate (4),Very Inaccurate (1),Somewhat Accurate (4),Like,No Engagement,No Engagement,I'm not sure (3),I'm not sure (3),More fake than real (2),Slightly Liberal,Neutral   5,"No, I've never used it"
615f7e73c786c379ed1a06c7,42,42,42,1,2,3,2,1,3,No,Very Accurate (5),Somewhat Accurate (4),Somewhat Accurate (4),Like,No Engagement,No Engagement,More real than fake (4),More real than fake (4),I'm not sure (3),Very Liberal,8,"No, I've never used it"
60306cf6330619ee41fa3cd2,43,43,43,1,2,3,2,3,1,No,Neither Accurate nor Inaccurate (3),Very Inaccurate (1),Somewhat Inaccurate (2),No Engagement,No Engagement,No Engagement,I'm not sure (3),More fake than real (2),More real than fake (4),Slightly Conservative,3,"Yes, very experienced"
615a2707c56f79267ff6c755,44,44,44,1,2,3,3,1,2,No,Very Inaccurate (1),Very Inaccurate (1),Somewhat Inaccurate (2),No Engagement,No Engagement,No Engagement,I'm not sure (3),More real than fake (4),Definitely fake (1),Slightly Liberal,Neutral   5,"Yes,  but I just started using it"
628524300be4422b915b32a9,45,45,45,1,2,3,1,3,2,No,Neither Accurate nor Inaccurate (3),Very Inaccurate (1),Somewhat Accurate (4),Prefer not to say,No Engagement,Like,More real than fake (4),Definitely fake (1),Definitely fake (1),Very Liberal,7,"Yes, somewhat experienced"
60bd186e1d5e1d11f128f538,46,46,46,1,2,3,2,1,3,No,Very Inaccurate (1),Somewhat Accurate (4),Somewhat Inaccurate (2),No Engagement,No Engagement,No Engagement,More real than fake (4),More real than fake (4),More fake than real (2),Slightly Liberal,Neutral   5,"Yes,  but I just started using it"
6103784160176523a4624d07,47,47,47,1,2,3,3,2,1,No,Somewhat Inaccurate (2),Somewhat Inaccurate (2),Somewhat Accurate (4),No Engagement,No Engagement,No Engagement,More fake than real (2),More fake than real (2),Definitely fake (1),Slightly Liberal,Untrustworthy 1,"No, I've never used it"
627e7330efb22bf3c66eb32f,48,48,48,1,2,3,2,3,1,No,Neither Accurate nor Inaccurate (3),Somewhat Accurate (4),Somewhat Inaccurate (2),No Engagement,Like,No Engagement,More fake than real (2),I'm not sure (3),I'm not sure (3),Very Liberal,9,"No, I've never used it"
5fc4231050130c35759881d3,49,49,49,1,2,3,1,2,3,No,Somewhat Inaccurate (2),Somewhat Accurate (4),Very Inaccurate (1),No Engagement,No Engagement,No Engagement,Definitely fake (1),More real than fake (4),Definitely real (5),Slightly Liberal,7,"Yes, very experienced"
630ab58fb3a4751f829426a9,50,50,50,1,2,3,1,2,3,No,Very Inaccurate (1),Very Inaccurate (1),Very Inaccurate (1),No Engagement,Reply,Reply,More real than fake (4),More real than fake (4),More fake than real (2),Very Liberal,7,"Yes, somewhat experienced"
60817c8d0bc7aff6755c361d,51,51,51,1,2,3,1,2,3,No,Very Inaccurate (1),Very Inaccurate (1),Very Inaccurate (1),No Engagement,No Engagement,No Engagement,I'm not sure (3),More real than fake (4),More fake than real (2),Slightly Liberal,Neutral   5,"No, I've never used it"
60b6b40fcfc32003ba8998ae,52,52,52,1,2,3,1,3,2,No,Somewhat Inaccurate (2),Very Inaccurate (1),Very Inaccurate (1),No Engagement,No Engagement,No Engagement,Definitely real (5),Definitely real (5),Definitely fake (1),Slightly Liberal,Neutral   5,"Yes,  but I just started using it"
5b8588fdec7fa30001d6103b,53,53,53,1,2,3,1,3,2,No,Very Inaccurate (1),Very Inaccurate (1),Somewhat Inaccurate (2),Reply,No Engagement,No Engagement,More real than fake (4),Definitely real (5),More fake than real (2),Slightly Liberal,Neutral   5,"Yes,  but I just started using it"
628b9a4c2eeaab55d3d8cc2d,54,54,54,1,2,3,3,2,1,No,Somewhat Inaccurate (2),Somewhat Inaccurate (2),Somewhat Accurate (4),No Engagement,No Engagement,No Engagement,Definitely real (5),More real than fake (4),More fake than real (2),Very Conservative,Neutral   5,"No, I've never used it"
5e718b4d2471fc0ba76997a5,55,55,55,1,2,3,2,1,3,No,Neither Accurate nor Inaccurate (3),Somewhat Accurate (4),Neither Accurate nor Inaccurate (3),No Engagement,No Engagement,No Engagement,More fake than real (2),Definitely real (5),More fake than real (2),Slightly Conservative,Neutral   5,"No, I've never used it"
5f8737c71a44ac11b9481ab8,56,56,56,1,2,3,2,3,1,No,Very Inaccurate (1),Very Inaccurate (1),Very Inaccurate (1),No Engagement,No Engagement,No Engagement,More fake than real (2),More fake than real (2),I'm not sure (3),Slightly Liberal,8,"Yes,  but I just started using it"
6234880df05fb61f80c5bc4c,57,57,57,1,2,3,1,2,3,No,Neither Accurate nor Inaccurate (3),Very Inaccurate (1),Somewhat Inaccurate (2),No Engagement,No Engagement,No Engagement,More real than fake (4),More real than fake (4),More fake than real (2),Slightly Liberal,3,"Yes, somewhat experienced"
616c27e289fbac20c73f34b6,58,58,58,1,2,3,3,2,1,No,Very Inaccurate (1),Somewhat Inaccurate (2),Somewhat Inaccurate (2),No Engagement,No Engagement,No Engagement,More real than fake (4),More real than fake (4),More fake than real (2),Prefer not to say,4,"No, I've never used it"
6235539e17f00ae3c9756495,59,59,59,1,2,3,1,3,2,No,Somewhat Inaccurate (2),Very Inaccurate (1),Somewhat Accurate (4),No Engagement,Reply,No Engagement,More real than fake (4),More real than fake (4),More fake than real (2),Slightly Liberal,Neutral   5,"Yes,  but I just started using it"
5e4898bd88257233536a65b5,60,60,60,1,2,3,2,1,3,No,Very Inaccurate (1),Very Inaccurate (1),Very Inaccurate (1),No Engagement,No Engagement,No Engagement,More fake than real (2),More fake than real (2),Definitely fake (1),Slightly Liberal,4,"No, I've never used it"
6299f0ad2ec831508933bf7e,61,61,61,1,2,3,1,2,3,No,Somewhat Inaccurate (2),Very Inaccurate (1),Very Inaccurate (1),No Engagement,No Engagement,No Engagement,More fake than real (2),More fake than real (2),I'm not sure (3),Very Liberal,2,"No, I've never used it"
5e524026d4c2b624506775fb,62,62,62,1,2,3,3,1,2,No,Somewhat Accurate (4),Very Accurate (5),Neither Accurate nor Inaccurate (3),No Engagement,No Engagement,No Engagement,More fake than real (2),I'm not sure (3),More real than fake (4),Slightly Conservative,2,"No, I've never used it"
5f0a686635f72917e94c7a63,63,63,63,1,2,3,1,3,2,No,Somewhat Accurate (4),Somewhat Accurate (4),Very Inaccurate (1),No Engagement,No Engagement,No Engagement,More real than fake (4),More real than fake (4),More fake than real (2),Very Liberal,7,"Yes, somewhat experienced"
61532109e21fff7c56edc8b6,64,64,64,1,2,3,2,3,1,No,Very Inaccurate (1),Somewhat Inaccurate (2),Neither Accurate nor Inaccurate (3),No Engagement,No Engagement,No Engagement,I'm not sure (3),More real than fake (4),More fake than real (2),Slightly Liberal,Neutral   5,"Yes,  but I just started using it"
5f47fd5a30f69f26b1dc80fd,65,65,65,1,2,3,3,2,1,No,Somewhat Inaccurate (2),Neither Accurate nor Inaccurate (3),Neither Accurate nor Inaccurate (3),No Engagement,No Engagement,No Engagement,I'm not sure (3),More real than fake (4),I'm not sure (3),Slightly Conservative,Neutral   5,"Yes, somewhat experienced"
611feee3fbf3a45d9af39eeb,66,66,66,1,2,3,1,2,3,No,Very Accurate (5),Somewhat Accurate (4),Somewhat Accurate (4),External Share,External Share,Like,More fake than real (2),I'm not sure (3),I'm not sure (3),Slightly Conservative,6,"Yes, somewhat experienced"
612281b8efddd5b0a9096650,67,67,67,1,2,3,2,3,1,No,Very Inaccurate (1),Very Inaccurate (1),Neither Accurate nor Inaccurate (3),No Engagement,No Engagement,No Engagement,More fake than real (2),More real than fake (4),More fake than real (2),Slightly Liberal,2,"No, I've never used it"
5af0bd948170ac0001e64b99,68,68,68,1,2,3,1,3,2,No,Neither Accurate nor Inaccurate (3),Very Inaccurate (1),Neither Accurate nor Inaccurate (3),No Engagement,No Engagement,No Engagement,Definitely fake (1),More real than fake (4),Definitely real (5),Very Liberal,4,"Yes,  but I just started using it"
5f532435dd6f0162c335486c,69,69,69,1,2,3,1,2,3,No,Neither Accurate nor Inaccurate (3),Neither Accurate nor Inaccurate (3),Neither Accurate nor Inaccurate (3),No Engagement,No Engagement,No Engagement,More real than fake (4),I'm not sure (3),Definitely fake (1),Slightly Liberal,9,"Yes, somewhat experienced"
616ed044985dca605e572d22,70,70,70,1,2,3,3,1,2,No,Neither Accurate nor Inaccurate (3),Somewhat Inaccurate (2),Neither Accurate nor Inaccurate (3),No Engagement,No Engagement,No Engagement,Definitely fake (1),More fake than real (2),More fake than real (2),Slightly Liberal,Neutral   5,"Yes, somewhat experienced"
629ce3d265e621859df359e4,71,71,71,1,2,3,3,2,1,No,Very Inaccurate (1),Neither Accurate nor Inaccurate (3),Very Inaccurate (1),No Engagement,No Engagement,No Engagement,More fake than real (2),More fake than real (2),More fake than real (2),Slightly Liberal,3,"Yes, somewhat experienced"
5c9db776f35c880018bc2fd1,72,72,72,1,2,3,3,1,2,No,Somewhat Accurate (4),Very Accurate (5),Neither Accurate nor Inaccurate (3),No Engagement,Retweet,No Engagement,More real than fake (4),More real than fake (4),More fake than real (2),Prefer not to say,Neutral   5,Prefer not to say
62fe7fcc250311d93a7d6268,73,73,73,1,2,3,3,1,2,No,Somewhat Accurate (4),Neither Accurate nor Inaccurate (3),Somewhat Accurate (4),Retweet,No Engagement,No Engagement,More fake than real (2),Definitely real (5),More real than fake (4),Slightly Conservative,6,"No, I've never used it"
62b1ceb25356220938a06d89,74,74,74,1,2,3,2,1,3,No,Very Accurate (5),Neither Accurate nor Inaccurate (3),Very Inaccurate (1),No Engagement,No Engagement,No Engagement,Definitely fake (1),Definitely real (5),Definitely fake (1),Slightly Liberal,3,"Yes, somewhat experienced"
62db80a54255407140d8843e,75,75,75,1,2,3,1,3,2,No,Very Accurate (5),Very Accurate (5),Very Accurate (5),No Engagement,No Engagement,No Engagement,Definitely real (5),Definitely real (5),Definitely fake (1),Slightly Liberal,Trustworthy 10,"Yes,  but I just started using it"
55ddb84550a1f7000b90d65a,76,76,76,1,2,3,3,2,1,No,Somewhat Inaccurate (2),Somewhat Inaccurate (2),Neither Accurate nor Inaccurate (3),No Engagement,No Engagement,No Engagement,More real than fake (4),I'm not sure (3),More fake than real (2),Slightly Liberal,Neutral   5,"No, I've never used it"
628e216bba11289b021aa0bd,77,77,77,1,2,3,3,2,1,No,Very Inaccurate (1),Very Inaccurate (1),Somewhat Inaccurate (2),No Engagement,No Engagement,No Engagement,Definitely fake (1),More fake than real (2),Definitely fake (1),Slightly Liberal,Neutral   5,"No, I've never used it"
5db72ba3ae256f000d56c96b,78,78,78,1,2,3,2,3,1,No,Somewhat Accurate (4),Very Inaccurate (1),Somewhat Inaccurate (2),No Engagement,No Engagement,No Engagement,More real than fake (4),More real than fake (4),More fake than real (2),Slightly Liberal,4,"Yes, somewhat experienced"
5deacaa28caedd1eb4432c1a,79,79,79,1,2,3,2,3,1,No,Neither Accurate nor Inaccurate (3),Somewhat Inaccurate (2),Neither Accurate nor Inaccurate (3),No Engagement,No Engagement,No Engagement,More fake than real (2),More real than fake (4),More real than fake (4),Slightly Liberal,Neutral   5,"No, I've never used it"
630f1ce70d826bb52a738c44,80,80,80,1,2,3,1,3,2,No,Very Accurate (5),Very Accurate (5),Somewhat Accurate (4),Like,Like,Retweet,Definitely real (5),Definitely real (5),More real than fake (4),Prefer not to say,7,"No, I've never used it"
614a1d94af01496d0e613360,81,81,81,1,2,3,2,3,1,No,Neither Accurate nor Inaccurate (3),Very Inaccurate (1),Somewhat Inaccurate (2),No Engagement,No Engagement,No Engagement,More fake than real (2),More fake than real (2),Definitely fake (1),Very Liberal,Neutral   5,"Yes, somewhat experienced"
5f4df2b4bdb2449bd751ce51,82,82,82,1,2,3,2,1,3,No,Somewhat Accurate (4),Very Accurate (5),Neither Accurate nor Inaccurate (3),Like,Reply,Like,Definitely real (5),More fake than real (2),More fake than real (2),Very Conservative,6,"No, I've never used it"
5cb788bf7f88600001242d9d,83,83,83,1,2,3,1,2,3,No,Very Accurate (5),Very Accurate (5),Very Inaccurate (1),No Engagement,No Engagement,No Engagement,More real than fake (4),I'm not sure (3),More fake than real (2),Prefer not to say,Neutral   5,"No, I've never used it"
5f47e6376aa63923f3804e3b,84,84,84,1,2,3,2,1,3,No,Somewhat Accurate (4),Very Inaccurate (1),Very Inaccurate (1),No Engagement,No Engagement,No Engagement,I'm not sure (3),More real than fake (4),More fake than real (2),Very Liberal,6,"Yes, very experienced"
5c510b41e459660001e38861@email.prolific.co,85,85,85,1,2,3,3,1,2,No,Somewhat Inaccurate (2),Somewhat Accurate (4),Somewhat Inaccurate (2),No Engagement,External Share,No Engagement,I'm not sure (3),More real than fake (4),More fake than real (2),Slightly Liberal,3,"No, I've never used it"
60ad5f03939a57803959b569,86,86,86,1,2,3,2,1,3,No,Neither Accurate nor Inaccurate (3),Somewhat Accurate (4),Somewhat Accurate (4),No Engagement,Retweet,No Engagement,More real than fake (4),More real than fake (4),I'm not sure (3),Slightly Liberal,6,"Yes, somewhat experienced"
5f9a25f467c68d13eaa9cc5c,87,87,87,1,2,3,1,2,3,No,Somewhat Accurate (4),Somewhat Accurate (4),Very Accurate (5),No Engagement,External Share,No Engagement,Definitely real (5),More real than fake (4),Definitely real (5),Very Liberal,7,"Yes, somewhat experienced"
5c0f500787e876000151fc5f,88,88,88,1,2,3,1,2,3,No,Very Inaccurate (1),Very Inaccurate (1),Very Inaccurate (1),No Engagement,No Engagement,No Engagement,I'm not sure (3),More fake than real (2),More fake than real (2),Very Liberal,3,"Yes, somewhat experienced"
61005607094e0a21cbbe9e8a,89,89,89,1,2,3,2,1,3,No,Neither Accurate nor Inaccurate (3),Somewhat Inaccurate (2),Very Inaccurate (1),Like,No Engagement,No Engagement,More fake than real (2),I'm not sure (3),More fake than real (2),Slightly Liberal,6,"No, I've never used it"
6285afe6eedb6a92df4b0365,90,90,90,1,2,3,1,2,3,No,Somewhat Inaccurate (2),Neither Accurate nor Inaccurate (3),Very Inaccurate (1),No Engagement,Like,No Engagement,I'm not sure (3),More real than fake (4),Definitely fake (1),Slightly Liberal,2,"Yes, very experienced"
614fa2d8176b0317b451cd0f,91,91,91,1,2,3,2,1,3,No,Somewhat Accurate (4),Very Inaccurate (1),Somewhat Inaccurate (2),No Engagement,No Engagement,Reply,Definitely fake (1),More real than fake (4),More fake than real (2),Slightly Conservative,2,"Yes, very experienced"
630d26a49910ba90008fe6b5,92,92,92,1,2,3,2,3,1,No,Somewhat Inaccurate (2),Very Inaccurate (1),Very Inaccurate (1),No Engagement,No Engagement,No Engagement,More real than fake (4),More real than fake (4),More fake than real (2),Slightly Conservative,Neutral   5,"Yes, very experienced"
5ae2641f5cd05500015ece71,93,93,93,1,2,3,3,1,2,No,Very Inaccurate (1),Very Accurate (5),Very Accurate (5),No Engagement,No Engagement,No Engagement,More fake than real (2),More real than fake (4),More real than fake (4),Very Liberal,3,"No, I've never used it"
62dabc9d3a584120de29162e,94,94,94,1,2,3,1,3,2,No,Somewhat Accurate (4),Very Inaccurate (1),Neither Accurate nor Inaccurate (3),No Engagement,No Engagement,No Engagement,I'm not sure (3),Definitely real (5),More fake than real (2),Prefer not to say,7,"Yes,  but I just started using it"
61088f102428b60cde829d29,95,95,95,1,2,3,3,1,2,No,Very Inaccurate (1),Somewhat Inaccurate (2),Somewhat Inaccurate (2),No Engagement,No Engagement,No Engagement,More fake than real (2),More real than fake (4),More fake than real (2),Slightly Liberal,4,"Yes, somewhat experienced"
62dcc5dc8fcf471ec987e7cf,96,96,96,1,2,3,3,1,2,No,Neither Accurate nor Inaccurate (3),Neither Accurate nor Inaccurate (3),Very Accurate (5),No Engagement,No Engagement,No Engagement,Definitely real (5),Definitely real (5),More fake than real (2),Slightly Liberal,Neutral   5,"No, I've never used it"
