Subject,Condition,TweetID,TweetAccuracy,TweetEngage,TEndTime,TPageTime,TPAccuracy,TPEngage,TPEndTime,TPPageTime,FakeRate,FEndTime,FPageTime,Covid_Freq,Political_View,Twitter_Exp,Tweet_Freq,Trust_Tweet,Covid_Vacc,Photoshop,Age,Gender,Education
5,2,3,Very Inaccurate (1),No Engagement,12.41,13.061,Very Inaccurate (1),No Engagement,22.655,23.22,Definitely real (5),4.072,4.746,I did not read or listen to news concerning COVID-19 in the past 12 months,Prefer not to say,"No, I've never used it",I did not tweet or retweet in the past 3 months,Neutral 5,"No, I am not vaccinated","Yes, but I just started using it",30-39,Female,"High school degree or equivalent (e.g., GED)"
5,3,2,Somewhat Inaccurate (2),No Engagement,22.725,23.423,Very Inaccurate (1),No Engagement,18.744,19.306,More real than fake (4),27.618,27.943,I did not read or listen to news concerning COVID-19 in the past 12 months,Prefer not to say,"No, I've never used it",I did not tweet or retweet in the past 3 months,Neutral 5,"No, I am not vaccinated","Yes, but I just started using it",30-39,Female,"High school degree or equivalent (e.g., GED)"
6,1,3,Very Inaccurate (1),No Engagement,20.612,21.391,Very Inaccurate (1),No Engagement,26.541,27.285,Definitely fake (1),8.022,8.772,A few times,Slightly Liberal,"Yes, somewhat experienced",A few times,7,"Yes, fully vaccinated","Yes, but I just started using it",40-49,Male,Bachelor degree
6,2,2,Somewhat Accurate (4),No Engagement,14.232,14.883,Somewhat Accurate (4),No Engagement,12.762,13.385,More real than fake (4),8.667,9.496,A few times,Slightly Liberal,"Yes, somewhat experienced",A few times,7,"Yes, fully vaccinated","Yes, but I just started using it",40-49,Male,Bachelor degree
6,3,1,Somewhat Inaccurate (2),No Engagement,27.292,28.277,Somewhat Inaccurate (2),No Engagement,33.9,34.858,More real than fake (4),14.193,15.194,A few times,Slightly Liberal,"Yes, somewhat experienced",A few times,7,"Yes, fully vaccinated","Yes, but I just started using it",40-49,Male,Bachelor degree
7,1,2,Somewhat Accurate (4),No Engagement,4.192,5.207,Somewhat Accurate (4),No Engagement,3.946,5.029,More real than fake (4),10.718,12.25,Once or twice a week,Slightly Conservative,"Yes, somewhat experienced",A few times,Neutral 5,"Yes, fully vaccinated","No, I've never used it",30-39,Female,Bachelor degree
7,2,1,Somewhat Accurate (4),No Engagement,7.233,8.25,Somewhat Accurate (4),No Engagement,3.467,4.557,More real than fake (4),1.885,3.085,Once or twice a week,Slightly Conservative,"Yes, somewhat experienced",A few times,Neutral 5,"Yes, fully vaccinated","No, I've never used it",30-39,Female,Bachelor degree
7,3,3,Somewhat Inaccurate (2),No Engagement,6.982,8.516,Very Inaccurate (1),No Engagement,6.179,7.434,Definitely fake (1),2.088,3.683,Once or twice a week,Slightly Conservative,"Yes, somewhat experienced",A few times,Neutral 5,"Yes, fully vaccinated","No, I've never used it",30-39,Female,Bachelor degree
8,1,1,Somewhat Accurate (4),No Engagement,11.768,14.15,Very Accurate (5),Like,6.592,8.909,More real than fake (4),0,1.979,Once or twice a week,Very Conservative,"Yes, but I just joined",I did not tweet or retweet in the past 3 months,4,"Yes, fully vaccinated","No, I've never used it",50 or above,Female,Graduate degree
8,2,2,Somewhat Inaccurate (2),No Engagement,4.169,6.853,Neither Accurate nor Inaccurate (3),No Engagement,2.84,5.66,I'm not sure (3),0,1.548,Once or twice a week,Very Conservative,"Yes, but I just joined",I did not tweet or retweet in the past 3 months,4,"Yes, fully vaccinated","No, I've never used it",50 or above,Female,Graduate degree
8,3,3,Somewhat Inaccurate (2),No Engagement,6.865,9.197,Somewhat Inaccurate (2),No Engagement,4.382,7.524,More fake than real (2),0,2.7,Once or twice a week,Very Conservative,"Yes, but I just joined",I did not tweet or retweet in the past 3 months,4,"Yes, fully vaccinated","No, I've never used it",50 or above,Female,Graduate degree
9,1,3,Somewhat Inaccurate (2),No Engagement,2.832,5.348,Somewhat Inaccurate (2),No Engagement,3.568,6.803,I'm not sure (3),0,10.95,More than once a week,Very Liberal,"Yes, somewhat experienced",A few times,3,"Yes, fully vaccinated","Yes, somewhat experienced",30-39,Male,Some college but no degree
9,2,1,Somewhat Accurate (4),No Engagement,7.336,13.132,Neither Accurate nor Inaccurate (3),No Engagement,8.576,10.412,More fake than real (2),0.72,2.347,More than once a week,Very Liberal,"Yes, somewhat experienced",A few times,3,"Yes, fully vaccinated","Yes, somewhat experienced",30-39,Male,Some college but no degree
9,3,2,Somewhat Accurate (4),Like,2.6,7.26,Neither Accurate nor Inaccurate (3),Like,15.384,18.395,More fake than real (2),0,1.171,More than once a week,Very Liberal,"Yes, somewhat experienced",A few times,3,"Yes, fully vaccinated","Yes, somewhat experienced",30-39,Male,Some college but no degree
10,1,3,Somewhat Inaccurate (2),No Engagement,5.719,7.12,Neither Accurate nor Inaccurate (3),No Engagement,6.355,7.045,More real than fake (4),3.642,4.566,A few times,Prefer not to say,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,2,Prefer not to say,"Yes, very experienced",18-29,Female,"High school degree or equivalent (e.g., GED)"
10,2,2,Somewhat Accurate (4),No Engagement,24.312,25.186,Neither Accurate nor Inaccurate (3),No Engagement,18.225,18.835,More fake than real (2),16.218,16.704,A few times,Prefer not to say,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,2,Prefer not to say,"Yes, very experienced",18-29,Female,"High school degree or equivalent (e.g., GED)"
10,3,1,Neither Accurate nor Inaccurate (3),No Engagement,10.347,11.114,Neither Accurate nor Inaccurate (3),No Engagement,12.969,13.6,Definitely fake (1),8.266,9.038,A few times,Prefer not to say,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,2,Prefer not to say,"Yes, very experienced",18-29,Female,"High school degree or equivalent (e.g., GED)"
11,1,2,Neither Accurate nor Inaccurate (3),No Engagement,1.626,3.004,Neither Accurate nor Inaccurate (3),No Engagement,2.591,3.783,I'm not sure (3),0,1.089,Once a week,Slightly Conservative,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,Neutral 5,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Female,Bachelor degree
11,2,1,Somewhat Accurate (4),No Engagement,5.132,6.267,Neither Accurate nor Inaccurate (3),No Engagement,2.406,4.037,I'm not sure (3),0,0.963,Once a week,Slightly Conservative,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,Neutral 5,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Female,Bachelor degree
11,3,3,Very Inaccurate (1),No Engagement,5.237,6.898,Very Inaccurate (1),No Engagement,2.572,4.741,More real than fake (4),0,1.445,Once a week,Slightly Conservative,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,Neutral 5,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Female,Bachelor degree
12,1,3,Very Inaccurate (1),No Engagement,12.422,13.228,Neither Accurate nor Inaccurate (3),No Engagement,12.652,13.351,More fake than real (2),13.359,14.2,Once or twice a week,Very Liberal,"Yes, somewhat experienced",Once a month,9,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Female,Some college but no degree
12,2,2,Somewhat Inaccurate (2),No Engagement,7.644,8.442,Neither Accurate nor Inaccurate (3),No Engagement,11.683,12.401,Definitely real (5),2.932,4.428,Once or twice a week,Very Liberal,"Yes, somewhat experienced",Once a month,9,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Female,Some college but no degree
12,3,1,Very Accurate (5),Like,31.161,32.364,Somewhat Inaccurate (2),No Engagement,23.539,26.121,Definitely real (5),3.314,4.218,Once or twice a week,Very Liberal,"Yes, somewhat experienced",Once a month,9,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Female,Some college but no degree
13,1,2,Somewhat Accurate (4),No Engagement,12.205,13.312,Somewhat Accurate (4),No Engagement,1.774,3.067,More real than fake (4),0,1.079,Once or twice a week,Slightly Liberal,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,6,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Male,"High school degree or equivalent (e.g., GED)"
13,2,3,Somewhat Inaccurate (2),No Engagement,16.367,16.73,Very Inaccurate (1),No Engagement,3.016,4.535,More real than fake (4),0,1.152,Once or twice a week,Slightly Liberal,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,6,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Male,"High school degree or equivalent (e.g., GED)"
13,3,1,Neither Accurate nor Inaccurate (3),No Engagement,7.578,8.736,Very Inaccurate (1),No Engagement,2.481,3.511,Definitely fake (1),1.401,2.123,Once or twice a week,Slightly Liberal,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,6,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Male,"High school degree or equivalent (e.g., GED)"
14,1,1,Very Inaccurate (1),No Engagement,14.53,15.469,Somewhat Accurate (4),Like,23.405,24.152,I'm not sure (3),5.975,6.632,More than once a week,Very Liberal,"Yes, somewhat experienced",A few times,6,"Yes, fully vaccinated","No, I've never used it",30-39,Female,Graduate degree
14,2,3,Neither Accurate nor Inaccurate (3),No Engagement,68.686,69.26,Neither Accurate nor Inaccurate (3),No Engagement,11.343,11.936,More real than fake (4),17.956,18.567,More than once a week,Very Liberal,"Yes, somewhat experienced",A few times,6,"Yes, fully vaccinated","No, I've never used it",30-39,Female,Graduate degree
14,3,2,Somewhat Inaccurate (2),No Engagement,23.155,24.006,Somewhat Inaccurate (2),No Engagement,18.63,19.368,More real than fake (4),5.265,6.07,More than once a week,Very Liberal,"Yes, somewhat experienced",A few times,6,"Yes, fully vaccinated","No, I've never used it",30-39,Female,Graduate degree
15,1,2,Very Accurate (5),Retweet,5.841,8.348,Somewhat Accurate (4),Retweet,2.147,6.287,I'm not sure (3),0.682,1.802,Once or twice a week,Slightly Liberal,"Yes, somewhat experienced",Once a month,4,"Yes, fully vaccinated","Yes, but I just started using it",30-39,Male,Bachelor degree
15,2,1,Very Inaccurate (1),No Engagement,5.712,7.441,Very Inaccurate (1),No Engagement,0.84,4.649,Definitely real (5),0,0.655,Once or twice a week,Slightly Liberal,"Yes, somewhat experienced",Once a month,4,"Yes, fully vaccinated","Yes, but I just started using it",30-39,Male,Bachelor degree
15,3,3,Neither Accurate nor Inaccurate (3),No Engagement,7.295,9.186,Very Inaccurate (1),Prefer not to say,0.78,2.266,I'm not sure (3),8.035,8.782,Once or twice a week,Slightly Liberal,"Yes, somewhat experienced",Once a month,4,"Yes, fully vaccinated","Yes, but I just started using it",30-39,Male,Bachelor degree
16,1,3,Very Inaccurate (1),No Engagement,12.946,13.693,Neither Accurate nor Inaccurate (3),No Engagement,5.184,5.91,More fake than real (2),0,1.005,Once a month,Slightly Liberal,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,Untrustworthy 1,"Yes, I have at least one round of the series","Yes, very experienced",30-39,Male,Some college but no degree
16,2,2,Neither Accurate nor Inaccurate (3),No Engagement,6.736,7.797,Neither Accurate nor Inaccurate (3),No Engagement,3.32,3.907,Definitely fake (1),0,1.299,Once a month,Slightly Liberal,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,Untrustworthy 1,"Yes, I have at least one round of the series","Yes, very experienced",30-39,Male,Some college but no degree
16,3,1,Neither Accurate nor Inaccurate (3),No Engagement,3.264,4.12,Neither Accurate nor Inaccurate (3),No Engagement,10.889,12.077,I'm not sure (3),0,6.656,Once a month,Slightly Liberal,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,Untrustworthy 1,"Yes, I have at least one round of the series","Yes, very experienced",30-39,Male,Some college but no degree
17,1,1,Somewhat Accurate (4),No Engagement,3.944,5.422,Somewhat Accurate (4),No Engagement,3.129,4.145,More real than fake (4),0,1.088,I did not read or listen to news concerning COVID-19 in the past 12 months,Slightly Liberal,"No, I've never used it",I did not tweet or retweet in the past 3 months,Neutral 5,"No, I am not vaccinated","No, I've never used it",50 or above,Female,"High school degree or equivalent (e.g., GED)"
17,2,3,Somewhat Accurate (4),No Engagement,2.176,3.762,Somewhat Accurate (4),No Engagement,1.888,3.309,More real than fake (4),0,1.159,I did not read or listen to news concerning COVID-19 in the past 12 months,Slightly Liberal,"No, I've never used it",I did not tweet or retweet in the past 3 months,Neutral 5,"No, I am not vaccinated","No, I've never used it",50 or above,Female,"High school degree or equivalent (e.g., GED)"
17,3,2,Neither Accurate nor Inaccurate (3),No Engagement,1.294,2.934,Neither Accurate nor Inaccurate (3),No Engagement,2.365,4.031,More real than fake (4),0,0.915,I did not read or listen to news concerning COVID-19 in the past 12 months,Slightly Liberal,"No, I've never used it",I did not tweet or retweet in the past 3 months,Neutral 5,"No, I am not vaccinated","No, I've never used it",50 or above,Female,"High school degree or equivalent (e.g., GED)"
18,1,1,Somewhat Inaccurate (2),No Engagement,15.941,16.575,Somewhat Accurate (4),No Engagement,4.343,5.44,More real than fake (4),1.041,1.508,More than once a week,Very Liberal,"Yes, somewhat experienced",Once a month,7,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Non-binary / third gender,Graduate degree
18,2,3,Very Inaccurate (1),No Engagement,11.57,16.398,Somewhat Accurate (4),Reply,15.469,16.062,More real than fake (4),6.331,7.188,More than once a week,Very Liberal,"Yes, somewhat experienced",Once a month,7,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Non-binary / third gender,Graduate degree
18,3,2,Somewhat Accurate (4),No Engagement,11.006,11.389,Somewhat Inaccurate (2),No Engagement,5.521,6.129,Definitely fake (1),1.499,2.427,More than once a week,Very Liberal,"Yes, somewhat experienced",Once a month,7,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Non-binary / third gender,Graduate degree
19,1,2,Very Accurate (5),No Engagement,40.764,45.572,Very Accurate (5),No Engagement,25.033,26.848,More real than fake (4),7.849,9.233,Once a week,Very Liberal,"Yes, somewhat experienced",A few times,Untrustworthy 1,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Female,Some college but no degree
19,2,1,Neither Accurate nor Inaccurate (3),No Engagement,26.929,27.919,Neither Accurate nor Inaccurate (3),No Engagement,15.202,16.549,More fake than real (2),28.333,30.356,Once a week,Very Liberal,"Yes, somewhat experienced",A few times,Untrustworthy 1,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Female,Some college but no degree
19,3,3,Very Inaccurate (1),No Engagement,16.9,18.038,Very Inaccurate (1),No Engagement,5.482,8.593,I'm not sure (3),18.016,18.618,Once a week,Very Liberal,"Yes, somewhat experienced",A few times,Untrustworthy 1,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Female,Some college but no degree
20,1,2,Somewhat Inaccurate (2),No Engagement,1.654,2.634,Somewhat Inaccurate (2),No Engagement,1.719,3.127,More fake than real (2),0,0.629,More than once a week,Very Conservative,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,Neutral 5,"Yes, fully vaccinated","Yes, very experienced",30-39,Male,Some college but no degree
20,2,1,Somewhat Inaccurate (2),No Engagement,6.365,7.854,Somewhat Inaccurate (2),No Engagement,13.582,15.152,More real than fake (4),0.568,1.284,More than once a week,Very Conservative,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,Neutral 5,"Yes, fully vaccinated","Yes, very experienced",30-39,Male,Some college but no degree
20,3,3,Somewhat Inaccurate (2),No Engagement,1.696,3.189,Very Inaccurate (1),No Engagement,7.876,9.207,I'm not sure (3),0,0.712,More than once a week,Very Conservative,"Yes, somewhat experienced",I did not tweet or retweet in the past 3 months,Neutral 5,"Yes, fully vaccinated","Yes, very experienced",30-39,Male,Some college but no degree
21,1,2,Somewhat Inaccurate (2),No Engagement,24.019,24.817,Very Inaccurate (1),No Engagement,10.258,12.315,More fake than real (2),3.73,4.791,More than once a week,Very Liberal,"Yes, but I just joined",I did not tweet or retweet in the past 3 months,3,"Yes, fully vaccinated","Yes, somewhat experienced",30-39,Female,Associate degree
21,2,3,Very Inaccurate (1),No Engagement,6.778,8.03,Very Inaccurate (1),No Engagement,3.78,5.292,Definitely fake (1),4.873,6.504,More than once a week,Very Liberal,"Yes, but I just joined",I did not tweet or retweet in the past 3 months,3,"Yes, fully vaccinated","Yes, somewhat experienced",30-39,Female,Associate degree
21,3,1,Very Inaccurate (1),No Engagement,7.008,7.956,Very Inaccurate (1),No Engagement,6.157,6.983,Definitely fake (1),3.086,4.541,More than once a week,Very Liberal,"Yes, but I just joined",I did not tweet or retweet in the past 3 months,3,"Yes, fully vaccinated","Yes, somewhat experienced",30-39,Female,Associate degree
22,1,1,Neither Accurate nor Inaccurate (3),No Engagement,2.784,4.423,Somewhat Accurate (4),No Engagement,2.021,4.007,More real than fake (4),0,5.909,A few times,Very Liberal,"Yes, very experienced",A few times,Neutral 5,"Yes, fully vaccinated","No, I've never used it",30-39,Female,Graduate degree
22,2,3,Very Inaccurate (1),No Engagement,9.421,12.458,Very Inaccurate (1),No Engagement,2.754,5.295,More real than fake (4),0,1.003,A few times,Very Liberal,"Yes, very experienced",A few times,Neutral 5,"Yes, fully vaccinated","No, I've never used it",30-39,Female,Graduate degree
22,3,2,Very Inaccurate (1),No Engagement,1.733,3.311,Very Inaccurate (1),No Engagement,3.335,5.157,More fake than real (2),6.186,7.62,A few times,Very Liberal,"Yes, very experienced",A few times,Neutral 5,"Yes, fully vaccinated","No, I've never used it",30-39,Female,Graduate degree
23,1,3,Somewhat Inaccurate (2),No Engagement,9.902,10.294,Neither Accurate nor Inaccurate (3),No Engagement,2.388,2.85,I'm not sure (3),4.866,5.435,A few times,Very Liberal,"Yes, very experienced",Once or twice a week,Neutral 5,"Yes, fully vaccinated","No, I've never used it",18-29,Female,Associate degree
23,2,2,Very Inaccurate (1),No Engagement,12.994,13.403,Somewhat Inaccurate (2),No Engagement,7.635,8.133,I'm not sure (3),2.136,2.46,A few times,Very Liberal,"Yes, very experienced",Once or twice a week,Neutral 5,"Yes, fully vaccinated","No, I've never used it",18-29,Female,Associate degree
23,3,1,Somewhat Inaccurate (2),No Engagement,15.727,16.131,Very Inaccurate (1),No Engagement,13.475,13.919,Definitely fake (1),2.553,3.011,A few times,Very Liberal,"Yes, very experienced",Once or twice a week,Neutral 5,"Yes, fully vaccinated","No, I've never used it",18-29,Female,Associate degree
24,1,3,Very Inaccurate (1),No Engagement,4.001,4.79,Very Inaccurate (1),No Engagement,2.211,3.989,More real than fake (4),0,0.852,Once a week,Slightly Liberal,"Yes, somewhat experienced",A few times,6,"Yes, fully vaccinated","No, I've never used it",18-29,Female,Bachelor degree
24,2,1,Somewhat Accurate (4),No Engagement,2.533,4.235,Somewhat Accurate (4),No Engagement,1.699,3.593,More real than fake (4),0,1.267,Once a week,Slightly Liberal,"Yes, somewhat experienced",A few times,6,"Yes, fully vaccinated","No, I've never used it",18-29,Female,Bachelor degree
24,3,2,Somewhat Inaccurate (2),No Engagement,3.58,5.283,Very Inaccurate (1),No Engagement,3.603,5.543,Definitely fake (1),0,1.223,Once a week,Slightly Liberal,"Yes, somewhat experienced",A few times,6,"Yes, fully vaccinated","No, I've never used it",18-29,Female,Bachelor degree
25,1,3,Somewhat Inaccurate (2),No Engagement,11.564,11.924,Somewhat Accurate (4),No Engagement,11.281,11.952,More fake than real (2),8.416,8.987,A few times,Slightly Liberal,"No, I've never used it",I did not tweet or retweet in the past 3 months,Untrustworthy 1,"Yes, fully vaccinated","Yes, but I just started using it",18-29,Male,Some college but no degree
25,2,2,Neither Accurate nor Inaccurate (3),No Engagement,5.584,6.338,Somewhat Accurate (4),No Engagement,9.731,10.139,More fake than real (2),9.031,9.77,A few times,Slightly Liberal,"No, I've never used it",I did not tweet or retweet in the past 3 months,Untrustworthy 1,"Yes, fully vaccinated","Yes, but I just started using it",18-29,Male,Some college but no degree
25,3,1,Neither Accurate nor Inaccurate (3),No Engagement,17.713,17.735,Somewhat Inaccurate (2),No Engagement,19.979,20.619,I'm not sure (3),3.007,3.644,A few times,Slightly Liberal,"No, I've never used it",I did not tweet or retweet in the past 3 months,Untrustworthy 1,"Yes, fully vaccinated","Yes, but I just started using it",18-29,Male,Some college but no degree
26,1,3,Neither Accurate nor Inaccurate (3),No Engagement,13.922,15.972,Neither Accurate nor Inaccurate (3),No Engagement,4.099,5.136,More real than fake (4),0,1.337,A few times,Slightly Conservative,"Yes, somewhat experienced",A few times,4,"No, I am not vaccinated","Yes, somewhat experienced",18-29,Female,Associate degree
26,2,1,Somewhat Accurate (4),Like,3.154,4.192,Somewhat Accurate (4),Like,4.693,8.215,More real than fake (4),0,3.12,A few times,Slightly Conservative,"Yes, somewhat experienced",A few times,4,"No, I am not vaccinated","Yes, somewhat experienced",18-29,Female,Associate degree
26,3,2,Neither Accurate nor Inaccurate (3),No Engagement,3.962,5.112,Somewhat Inaccurate (2),No Engagement,5.427,8.206,More fake than real (2),0,1.257,A few times,Slightly Conservative,"Yes, somewhat experienced",A few times,4,"No, I am not vaccinated","Yes, somewhat experienced",18-29,Female,Associate degree
27,1,3,Very Accurate (5),Like,5.604,13.015,Very Accurate (5),Retweet,5.525,8.56,Definitely real (5),0,1.434,I did not read or listen to news concerning COVID-19 in the past 12 months,Slightly Conservative,"No, I've never used it",I did not tweet or retweet in the past 3 months,Neutral 5,Prefer not to say,"No, I've never used it",30-39,Male,Associate degree
27,2,2,Somewhat Accurate (4),Like,25.798,32.586,Somewhat Accurate (4),Like,7.856,8.55,Definitely real (5),0,1.173,I did not read or listen to news concerning COVID-19 in the past 12 months,Slightly Conservative,"No, I've never used it",I did not tweet or retweet in the past 3 months,Neutral 5,Prefer not to say,"No, I've never used it",30-39,Male,Associate degree
27,3,1,Neither Accurate nor Inaccurate (3),No Engagement,4.261,8.573,Somewhat Inaccurate (2),No Engagement,3.947,9.149,More fake than real (2),7.521,9.745,I did not read or listen to news concerning COVID-19 in the past 12 months,Slightly Conservative,"No, I've never used it",I did not tweet or retweet in the past 3 months,Neutral 5,Prefer not to say,"No, I've never used it",30-39,Male,Associate degree
28,1,1,Neither Accurate nor Inaccurate (3),No Engagement,3.384,4.654,Neither Accurate nor Inaccurate (3),Prefer not to say,2.632,3.74,More real than fake (4),0.797,1.268,Once a week,Prefer not to say,"No, I've never used it",I did not tweet or retweet in the past 3 months,Neutral 5,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Male,"High school degree or equivalent (e.g., GED)"
28,2,2,Very Inaccurate (1),No Engagement,8.384,10.117,Very Inaccurate (1),No Engagement,2.679,3.603,I'm not sure (3),1.248,1.581,Once a week,Prefer not to say,"No, I've never used it",I did not tweet or retweet in the past 3 months,Neutral 5,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Male,"High school degree or equivalent (e.g., GED)"
28,3,3,Very Inaccurate (1),No Engagement,2.063,3.501,Very Inaccurate (1),No Engagement,3.024,4.35,More fake than real (2),0,1.652,Once a week,Prefer not to say,"No, I've never used it",I did not tweet or retweet in the past 3 months,Neutral 5,"Yes, fully vaccinated","Yes, somewhat experienced",18-29,Male,"High school degree or equivalent (e.g., GED)"
29,1,1,Very Inaccurate (1),No Engagement,7.545,8.066,Very Inaccurate (1),No Engagement,7.289,7.955,Definitely real (5),0.973,1.927,Once or twice a week,Slightly Conservative,"Yes, somewhat experienced",Once or twice a week,6,"Yes, fully vaccinated","Yes, but I just started using it",30-39,Female,Graduate degree
29,2,3,Very Inaccurate (1),No Engagement,17.593,18.214,Very Inaccurate (1),No Engagement,11.943,12.52,More real than fake (4),4.309,4.822,Once or twice a week,Slightly Conservative,"Yes, somewhat experienced",Once or twice a week,6,"Yes, fully vaccinated","Yes, but I just started using it",30-39,Female,Graduate degree
