Accuracy,Engagement,HasProfile,TweetID,Condition,SubjectID,Political View,Trust Tweet,Photoshop,Timing,FPTiming
Somewhat Accurate (4),Retweet,No,3,1,73,Slightly Conservative,6,"No, I've never used it",16.02,11.298
Very Accurate (5),No Engagement,No,2,1,74,Slightly Liberal,3,"Yes, somewhat experienced",11.662,0
Very Accurate (5),No Engagement,No,1,1,75,Slightly Liberal,Trustworthy 10,"Yes,  but I just started using it",32.177,3.652
Somewhat Inaccurate (2),No Engagement,No,3,1,76,Slightly Liberal,Neutral   5,"No, I've never used it",9.155,6.83
Very Inaccurate (1),No Engagement,No,3,1,77,Slightly Liberal,Neutral   5,"No, I've never used it",2.531,0
Somewhat Accurate (4),No Engagement,No,2,1,78,Slightly Liberal,4,"Yes, somewhat experienced",3.433,0
Neither Accurate nor Inaccurate (3),No Engagement,No,2,1,79,Slightly Liberal,Neutral   5,"No, I've never used it",2.023,0
Very Accurate (5),Like,No,1,1,80,Prefer not to say,7,"No, I've never used it",3.08,0
Neither Accurate nor Inaccurate (3),No Engagement,No,2,1,81,Very Liberal,Neutral   5,"Yes, somewhat experienced",4.45,0
Somewhat Accurate (4),Like,No,2,1,82,Very Conservative,6,"No, I've never used it",4.888,0
Very Accurate (5),No Engagement,No,1,1,83,Prefer not to say,Neutral   5,"No, I've never used it",39.183,23.082
Somewhat Accurate (4),No Engagement,No,2,1,84,Very Liberal,6,"Yes, very experienced",5.925,0
Somewhat Inaccurate (2),No Engagement,No,3,1,85,Slightly Liberal,3,"No, I've never used it",2.373,0
Neither Accurate nor Inaccurate (3),No Engagement,No,2,1,86,Slightly Liberal,6,"Yes, somewhat experienced",18.312,0
Somewhat Accurate (4),No Engagement,No,1,1,87,Very Liberal,7,"Yes, somewhat experienced",5.483,0
Very Inaccurate (1),No Engagement,No,1,1,88,Very Liberal,3,"Yes, somewhat experienced",17.809,0
Neither Accurate nor Inaccurate (3),Like,No,2,1,89,Slightly Liberal,6,"No, I've never used it",17.016,9.636
Somewhat Inaccurate (2),No Engagement,No,1,1,90,Slightly Liberal,2,"Yes, very experienced",2.041,5.097
Somewhat Accurate (4),No Engagement,No,2,1,91,Slightly Conservative,2,"Yes, very experienced",7.522,0.814
Somewhat Inaccurate (2),No Engagement,No,2,1,92,Slightly Conservative,Neutral   5,"Yes, very experienced",6.171,2.844
Very Inaccurate (1),No Engagement,No,3,1,93,Very Liberal,3,"No, I've never used it",11.745,7.548
Somewhat Accurate (4),No Engagement,No,1,1,94,Prefer not to say,7,"Yes,  but I just started using it",9.131,0
Very Inaccurate (1),No Engagement,No,3,1,95,Slightly Liberal,4,"Yes, somewhat experienced",13.024,4.684
Neither Accurate nor Inaccurate (3),No Engagement,No,3,1,96,Slightly Liberal,Neutral   5,"No, I've never used it",74.745,6.869
Very Accurate (5),Like,No,1,1,97,Very Conservative,Neutral   5,"Yes, somewhat experienced",9.491,2.939
Very Inaccurate (1),No Engagement,No,3,1,98,Very Liberal,7,"No, I've never used it",14.263,15.956
Very Inaccurate (1),Reply,No,1,1,99,Very Liberal,Neutral   5,"No, I've never used it",24.593,0
Very Inaccurate (1),Reply,No,3,1,100,Slightly Liberal,Neutral   5,"Yes, somewhat experienced",11.508,0
Somewhat Accurate (4),No Engagement,No,2,1,101,Slightly Conservative,Untrustworthy 1,"Yes, somewhat experienced",7.145,0
Neither Accurate nor Inaccurate (3),No Engagement,No,1,1,102,Slightly Liberal,Neutral   5,"No, I've never used it",3.073,0
Somewhat Inaccurate (2),No Engagement,No,2,1,103,Slightly Liberal,3,"Yes, somewhat experienced",3.832,0.903
Somewhat Inaccurate (2),No Engagement,No,1,1,104,Slightly Liberal,Neutral   5,"Yes,  but I just started using it",3.108,0
Somewhat Accurate (4),No Engagement,No,3,1,105,Slightly Liberal,Untrustworthy 1,"Yes, somewhat experienced",15.56,11.523
Somewhat Inaccurate (2),No Engagement,No,2,1,106,Very Liberal,7,"Yes, somewhat experienced",4.084,0
Somewhat Accurate (4),No Engagement,No,3,1,107,Slightly Liberal,7,"Yes, somewhat experienced",2.934,0
Very Inaccurate (1),No Engagement,No,3,1,108,Slightly Conservative,6,"No, I've never used it",0.835,0.948
Somewhat Accurate (4),No Engagement,No,3,1,109,Prefer not to say,3,"No, I've never used it",4.209,5.549
Somewhat Inaccurate (2),No Engagement,No,2,1,110,Very Liberal,8,"Yes, very experienced",9.995,3.671
Somewhat Accurate (4),External Share,No,1,1,111,Slightly Conservative,6,"Yes, somewhat experienced",3.251,0.748
Very Inaccurate (1),No Engagement,No,3,1,112,Slightly Conservative,4,"Yes, somewhat experienced",3.097,0
Neither Accurate nor Inaccurate (3),No Engagement,No,1,1,113,Very Conservative,Untrustworthy 1,"Yes, somewhat experienced",7.271,3.392
Somewhat Inaccurate (2),No Engagement,No,1,1,114,Slightly Liberal,7,"No, I've never used it",8.234,3.009
Neither Accurate nor Inaccurate (3),No Engagement,No,1,1,115,Very Liberal,Neutral   5,"Yes,  but I just started using it",3.73,0
Very Inaccurate (1),No Engagement,No,3,1,116,Slightly Liberal,Untrustworthy 1,"Yes, somewhat experienced",8.766,0.551
Somewhat Accurate (4),No Engagement,No,1,1,117,Very Liberal,Neutral   5,"Yes, somewhat experienced",8.782,4.851
Very Inaccurate (1),No Engagement,No,3,1,118,Slightly Liberal,3,"Yes, somewhat experienced",13.176,2.326
Somewhat Accurate (4),No Engagement,No,1,1,119,Slightly Liberal,Neutral   5,"Yes, somewhat experienced",3.342,8.577
Somewhat Accurate (4),Like,No,2,1,120,Very Liberal,8,"Yes,  but I just started using it",14.672,7.268
Neither Accurate nor Inaccurate (3),No Engagement,No,2,1,121,Prefer not to say,Neutral   5,"Yes, somewhat experienced",14.217,1.12
Very Accurate (5),Retweet,No,2,1,122,Slightly Liberal,7,"Yes, somewhat experienced",3.23,0.856
Very Inaccurate (1),No Engagement,No,2,1,123,Very Liberal,Untrustworthy 1,"No, I've never used it",2.178,0
Somewhat Inaccurate (2),No Engagement,No,3,1,124,Slightly Liberal,Untrustworthy 1,"No, I've never used it",18.722,5.285
Very Inaccurate (1),No Engagement,No,3,1,125,Very Liberal,3,"Yes, somewhat experienced",5.296,0
Very Accurate (5),No Engagement,No,2,1,126,Slightly Liberal,9,"No, I've never used it",7.916,0
Very Inaccurate (1),No Engagement,No,3,1,127,Very Liberal,Neutral   5,"No, I've never used it",1.293,5.991
Neither Accurate nor Inaccurate (3),No Engagement,No,1,1,128,Very Liberal,Neutral   5,"Yes, somewhat experienced",75.289,43.16
Somewhat Accurate (4),No Engagement,No,2,1,129,Very Liberal,6,"Yes, very experienced",4.275,9.891
Somewhat Inaccurate (2),No Engagement,No,1,1,130,Slightly Liberal,Neutral   5,"No, I've never used it",3.042,0
Very Accurate (5),No Engagement,No,2,1,131,Very Conservative,4,"Yes, somewhat experienced",2.31,0
Somewhat Accurate (4),No Engagement,No,2,1,132,Slightly Liberal,6,"Yes,  but I just started using it",3.385,0
Very Inaccurate (1),No Engagement,No,3,1,133,Slightly Liberal,6,"Yes, somewhat experienced",15.127,4.408
Neither Accurate nor Inaccurate (3),No Engagement,No,2,1,134,Slightly Liberal,Neutral   5,"No, I've never used it",13.252,5.609
Neither Accurate nor Inaccurate (3),No Engagement,No,2,1,135,Very Liberal,7,"No, I've never used it",3.379,1.679
Somewhat Accurate (4),Like,No,1,1,136,Slightly Liberal,Neutral   5,"Yes, very experienced",3.17,0
Neither Accurate nor Inaccurate (3),No Engagement,No,1,1,137,Slightly Liberal,3,"Yes, somewhat experienced",1.074,0
Neither Accurate nor Inaccurate (3),No Engagement,No,1,1,138,Slightly Conservative,4,"Yes, somewhat experienced",4.067,0
Neither Accurate nor Inaccurate (3),No Engagement,No,2,1,139,Slightly Liberal,6,"No, I've never used it",11.631,4.204
Very Inaccurate (1),No Engagement,No,3,1,140,Slightly Liberal,Neutral   5,"Yes, somewhat experienced",2.861,3.363
Very Accurate (5),External Share,No,1,1,141,Slightly Conservative,Neutral   5,"Yes, very experienced",30.228,8.442
Very Inaccurate (1),No Engagement,No,3,1,142,Slightly Conservative,Untrustworthy 1,"Yes, somewhat experienced",3.038,0
Very Inaccurate (1),No Engagement,No,1,1,143,Very Liberal,Neutral   5,"Yes, somewhat experienced",15.581,3.067
Very Inaccurate (1),No Engagement,No,3,1,144,Slightly Liberal,Untrustworthy 1,"Yes, very experienced",7.382,9.777
Somewhat Accurate (4),Like,No,2,1,145,Very Liberal,3,"Yes, very experienced",23.038,7.461
Very Inaccurate (1),No Engagement,No,3,1,146,Very Liberal,Neutral   5,"Yes, somewhat experienced",1.078,0
Somewhat Accurate (4),No Engagement,No,2,1,147,Slightly Conservative,Neutral   5,"Yes,  but I just started using it",15.702,1.773
Neither Accurate nor Inaccurate (3),No Engagement,No,3,1,148,Very Conservative,3,"Yes, somewhat experienced",4.558,0
Somewhat Inaccurate (2),No Engagement,No,3,1,149,Slightly Conservative,4,"No, I've never used it",2.052,0
Somewhat Accurate (4),No Engagement,No,1,1,150,Very Liberal,Neutral   5,"Yes, somewhat experienced",4.85,1.01
Somewhat Inaccurate (2),No Engagement,No,1,1,151,Prefer not to say,Neutral   5,"Yes, somewhat experienced",19.536,9.618
Somewhat Inaccurate (2),No Engagement,No,1,1,152,Very Liberal,4,"Yes, very experienced",22.533,9.518
Neither Accurate nor Inaccurate (3),External Share,No,1,1,153,Slightly Conservative,Neutral   5,"Yes, very experienced",6.261,0
Neither Accurate nor Inaccurate (3),No Engagement,No,2,1,154,Very Liberal,Neutral   5,"No, I've never used it",17.533,2.546
Very Accurate (5),Retweet,No,1,1,155,Slightly Conservative,6,"No, I've never used it",34.05,16.773
Somewhat Inaccurate (2),Like,No,2,1,156,Slightly Conservative,4,"Yes,  but I just started using it",30.155,14.623
Very Inaccurate (1),No Engagement,No,3,1,157,Slightly Liberal,4,"Yes, somewhat experienced",3.962,0
Somewhat Inaccurate (2),No Engagement,No,1,1,158,Prefer not to say,4,"No, I've never used it",8.661,0
Somewhat Accurate (4),No Engagement,No,2,1,159,Very Liberal,7,"No, I've never used it",25.946,10.27
Somewhat Accurate (4),No Engagement,No,1,1,160,Very Liberal,2,"No, I've never used it",81.278,7.786
Somewhat Inaccurate (2),No Engagement,No,2,1,161,Slightly Liberal,Neutral   5,"Yes, somewhat experienced",5.711,0
Somewhat Accurate (4),No Engagement,No,1,1,162,Very Liberal,Untrustworthy 1,"No, I've never used it",19.914,2.274
Somewhat Accurate (4),No Engagement,No,3,1,163,Prefer not to say,Neutral   5,"Yes, somewhat experienced",12.57,0
Somewhat Accurate (4),No Engagement,No,1,1,164,Slightly Liberal,Neutral   5,"Yes, somewhat experienced",14.024,12.028
Very Inaccurate (1),No Engagement,No,2,1,165,Very Liberal,7,"Yes, somewhat experienced",2.166,0
Neither Accurate nor Inaccurate (3),No Engagement,No,1,1,166,Slightly Liberal,Neutral   5,"No, I've never used it",21.322,7.93
Very Inaccurate (1),No Engagement,No,3,1,167,Slightly Liberal,Neutral   5,"No, I've never used it",4.079,0
Neither Accurate nor Inaccurate (3),No Engagement,No,1,1,168,Slightly Liberal,Neutral   5,"Yes,  but I just started using it",12.568,3.679
Somewhat Inaccurate (2),No Engagement,No,1,1,169,Very Liberal,Neutral   5,"No, I've never used it",1.686,0
Neither Accurate nor Inaccurate (3),No Engagement,No,2,1,170,Very Liberal,6,"No, I've never used it",16.13,11.408
Very Inaccurate (1),No Engagement,No,2,1,171,Slightly Conservative,Neutral   5,"Yes, very experienced",23.854,3.744
Very Inaccurate (1),External Share,No,3,1,172,Very Liberal,6,"Yes,  but I just started using it",6.632,5.897
Somewhat Inaccurate (2),No Engagement,No,1,1,173,Very Liberal,4,"No, I've never used it",16.052,4.95
Very Inaccurate (1),No Engagement,No,3,1,174,Slightly Liberal,9,"No, I've never used it",15.967,12.011
Somewhat Inaccurate (2),No Engagement,No,2,1,175,Slightly Liberal,4,"Yes, somewhat experienced",3.41,0
Neither Accurate nor Inaccurate (3),No Engagement,No,1,1,176,Slightly Liberal,6,"Yes, somewhat experienced",2.936,0
Neither Accurate nor Inaccurate (3),No Engagement,No,2,1,177,Slightly Conservative,Neutral   5,"No, I've never used it",5.495,0
Somewhat Inaccurate (2),No Engagement,No,2,1,178,Very Liberal,7,"No, I've never used it",2.066,0
Neither Accurate nor Inaccurate (3),Reply,No,1,1,179,Slightly Liberal,Neutral   5,"Yes,  but I just started using it",10.404,0
Very Inaccurate (1),No Engagement,No,3,1,180,Very Liberal,Neutral   5,"No, I've never used it",1.94,0.651
Very Inaccurate (1),No Engagement,No,2,1,181,Slightly Liberal,Trustworthy 10,"Yes, somewhat experienced",7.488,0
Somewhat Accurate (4),No Engagement,No,3,1,182,Very Liberal,6,"Yes,  but I just started using it",10.741,7.682
Somewhat Inaccurate (2),No Engagement,No,1,1,183,Very Liberal,4,"Yes, somewhat experienced",7.858,14.31
Neither Accurate nor Inaccurate (3),No Engagement,No,2,1,184,Slightly Liberal,4,"Yes, somewhat experienced",3.171,0
Somewhat Accurate (4),External Share,No,3,1,185,Slightly Conservative,Untrustworthy 1,"Yes,  but I just started using it",13.231,12.448
Somewhat Inaccurate (2),No Engagement,No,1,1,186,Very Liberal,7,"No, I've never used it",8.272,0
Very Inaccurate (1),No Engagement,No,3,1,187,Very Liberal,3,"Yes, somewhat experienced",4.97,0
Very Inaccurate (1),No Engagement,No,3,1,188,Very Liberal,7,"Yes, somewhat experienced",3.566,8.666
Somewhat Inaccurate (2),No Engagement,No,1,1,189,Slightly Liberal,7,"No, I've never used it",6.474,0
Somewhat Inaccurate (2),No Engagement,No,3,1,190,Slightly Liberal,7,"Yes,  but I just started using it",92.58,21.259
Neither Accurate nor Inaccurate (3),No Engagement,No,2,1,191,Slightly Conservative,Neutral   5,"No, I've never used it",5.209,2.283
Neither Accurate nor Inaccurate (3),Like,No,2,1,192,Slightly Liberal,2,"Yes, very experienced",11.003,0
Neither Accurate nor Inaccurate (3),Prefer not to say,No,2,1,193,Slightly Liberal,4,"Yes, somewhat experienced",3.669,0.749
Somewhat Accurate (4),No Engagement,No,2,1,194,Slightly Liberal,2,"No, I've never used it",24.315,5.792
Neither Accurate nor Inaccurate (3),External Share,No,2,1,195,Slightly Conservative,7,"No, I've never used it",5.509,0
Somewhat Inaccurate (2),No Engagement,No,3,1,196,Slightly Conservative,Neutral   5,"No, I've never used it",3.702,0
Very Inaccurate (1),No Engagement,No,3,1,197,Very Liberal,Neutral   5,"Yes,  but I just started using it",2.557,0
Somewhat Inaccurate (2),No Engagement,No,3,1,198,Slightly Liberal,7,"Yes, somewhat experienced",12.504,5.782
Somewhat Accurate (4),Reply,No,3,1,199,Slightly Liberal,4,"Yes, somewhat experienced",3.32,0
Somewhat Inaccurate (2),No Engagement,No,2,1,200,Very Liberal,3,"No, I've never used it",3.231,0
Neither Accurate nor Inaccurate (3),No Engagement,No,2,1,201,Slightly Conservative,7,"Yes,  but I just started using it",11.714,3.928
Neither Accurate nor Inaccurate (3),No Engagement,No,2,1,202,Slightly Liberal,7,"No, I've never used it",4.053,1.096
Very Inaccurate (1),No Engagement,No,3,1,203,Slightly Liberal,Neutral   5,"No, I've never used it",5.285,0
Very Inaccurate (1),No Engagement,No,3,1,204,Slightly Conservative,4,"No, I've never used it",5.672,3.821
Somewhat Accurate (4),No Engagement,No,2,1,205,Very Liberal,4,"Yes, somewhat experienced",3.065,0
Very Inaccurate (1),No Engagement,No,2,1,206,Very Liberal,3,"Yes,  but I just started using it",2.172,0
Neither Accurate nor Inaccurate (3),No Engagement,No,2,1,207,Very Liberal,Neutral   5,"Yes, somewhat experienced",33.236,26.199
Somewhat Accurate (4),No Engagement,No,1,1,208,Slightly Liberal,Neutral   5,"Yes, somewhat experienced",50.928,10.163
Neither Accurate nor Inaccurate (3),No Engagement,No,1,1,209,Slightly Conservative,Neutral   5,"No, I've never used it",6.537,1.555
Neither Accurate nor Inaccurate (3),Reply,No,2,1,210,Slightly Conservative,Neutral   5,"Yes, somewhat experienced",9.447,5.196
Very Inaccurate (1),No Engagement,No,3,1,211,Very Liberal,Neutral   5,"No, I've never used it",3.989,0
Neither Accurate nor Inaccurate (3),No Engagement,No,2,1,212,Very Liberal,6,"Yes, somewhat experienced",13.918,4.245
Very Inaccurate (1),No Engagement,No,3,1,213,Slightly Conservative,6,"Yes, somewhat experienced",6.647,0
Neither Accurate nor Inaccurate (3),No Engagement,No,1,1,214,Slightly Liberal,3,"No, I've never used it",1.448,0
Very Inaccurate (1),No Engagement,No,3,1,215,Very Liberal,6,"Yes, somewhat experienced",3.791,0.63
Somewhat Inaccurate (2),No Engagement,No,1,1,216,Very Liberal,Neutral   5,"No, I've never used it",33.632,10.541
Very Inaccurate (1),No Engagement,No,3,1,217,Slightly Liberal,Neutral   5,"Yes, somewhat experienced",1.397,0
Somewhat Inaccurate (2),No Engagement,No,1,1,218,Very Liberal,4,"Yes, somewhat experienced",1.959,0
Somewhat Accurate (4),No Engagement,No,1,1,219,Very Conservative,6,"Yes, somewhat experienced",26.046,1.072
Somewhat Inaccurate (2),No Engagement,No,3,1,220,Slightly Conservative,Neutral   5,"Yes, somewhat experienced",20.725,15.348
Somewhat Accurate (4),Like,No,3,1,221,Very Conservative,Neutral   5,"Yes, somewhat experienced",6.896,0
Somewhat Accurate (4),No Engagement,No,3,1,222,Slightly Liberal,6,"No, I've never used it",81.736,0
Somewhat Inaccurate (2),No Engagement,No,2,1,223,Slightly Conservative,6,"No, I've never used it",17.65,7.157
Very Inaccurate (1),No Engagement,No,3,1,224,Very Liberal,Neutral   5,"Yes,  but I just started using it",3.841,1.461
Somewhat Accurate (4),Like,No,1,1,225,Slightly Liberal,6,"No, I've never used it",3.522,0
Somewhat Inaccurate (2),No Engagement,No,2,1,226,Very Liberal,Neutral   5,"Yes, somewhat experienced",22.094,15.935
Neither Accurate nor Inaccurate (3),No Engagement,No,2,1,227,Slightly Liberal,Neutral   5,"Yes, very experienced",3.4,0
Very Inaccurate (1),No Engagement,No,3,1,228,Very Liberal,Neutral   5,"No, I've never used it",2.281,0
Somewhat Inaccurate (2),No Engagement,No,1,1,229,Prefer not to say,Neutral   5,"No, I've never used it",20.81,3.138
Neither Accurate nor Inaccurate (3),No Engagement,No,1,1,230,Very Liberal,2,"No, I've never used it",3.108,0
Neither Accurate nor Inaccurate (3),No Engagement,No,2,1,231,Prefer not to say,2,"Yes, very experienced",13.691,16.078
Very Inaccurate (1),No Engagement,No,3,1,232,Slightly Liberal,Neutral   5,"Yes,  but I just started using it",3.655,0
Very Inaccurate (1),No Engagement,No,3,1,233,Slightly Liberal,Neutral   5,"No, I've never used it",3.306,0.402
Somewhat Inaccurate (2),No Engagement,No,3,1,234,Very Conservative,Neutral   5,"Yes, somewhat experienced",1.776,0
Very Inaccurate (1),No Engagement,No,1,1,235,Slightly Liberal,Neutral   5,"Yes, somewhat experienced",4.94,0
Neither Accurate nor Inaccurate (3),No Engagement,No,1,1,236,Prefer not to say,Neutral   5,Prefer not to say,10.3,1.886
Very Inaccurate (1),No Engagement,No,3,1,237,Very Liberal,4,"No, I've never used it",11.899,0
Very Inaccurate (1),No Engagement,No,2,1,238,Slightly Conservative,6,"No, I've never used it",6.016,0
Very Accurate (5),Retweet,No,3,1,239,Very Conservative,3,"Yes, somewhat experienced",19.649,5.21
